regimen,category
DARA BORT LENA,Quadruplet with anti-CD38 backbone (1L NDMM)
DARA CARF LENA,Quadruplet with anti-CD38 backbone (1L NDMM)
DARA BORT CYCL,Quadruplet with anti-CD38 backbone (1L NDMM)
DARA CARF CYCL,Quadruplet with anti-CD38 backbone (1L NDMM)
ISAT BORT LENA,Quadruplet with anti-CD38 backbone (1L NDMM)
ISAT CARF LENA,Quadruplet with anti-CD38 backbone (1L NDMM)
DARA LENA,Triplet with anti-CD38 backbone (1L NDMM)
ISAT LENA,Triplet with anti-CD38 backbone (1L NDMM)
BORT LENA,Other triplet non-antiCD38 (1L NDMM)
CARF LENA,Other triplet non-antiCD38 (1L NDMM)
IXAZ LENA,Other triplet non-antiCD38 (1L NDMM)
BORT CYCL,Other triplet non-antiCD38 (1L NDMM)
CARF CYCL,Other triplet non-antiCD38 (1L NDMM)
BORT MELP,Other triplet non-antiCD38 (1L NDMM)
LENA,Doublet (1L NDMM)
BORT,Doublet (1L NDMM)
CARF,Doublet (1L NDMM)
CYCL,Doublet (1L NDMM)
POMA,Doublet (1L NDMM)
DARA,Mono (1L NDMM)
DARA BORT,Triplet with anti-CD38 backbone (2L+ R/RMM)
DARA CARF,Triplet with anti-CD38 backbone (2L+ R/RMM)
DARA POMA,Triplet with anti-CD38 backbone (2L+ R/RMM)
ISAT POMA,Triplet with anti-CD38 backbone (2L+ R/RMM)
ISAT CARF,Triplet with anti-CD38 backbone (2L+ R/RMM)
CARF POMA,Pomalidomide-based triplet non-antiCD38 (2L+ R/RMM)
BORT POMA,Pomalidomide-based triplet non-antiCD38 (2L+ R/RMM)
IXAZ POMA,Pomalidomide-based triplet non-antiCD38 (2L+ R/RMM)
ELOT POMA,Pomalidomide-based triplet non-antiCD38 (2L+ R/RMM)
ELOT LENA,Other triplet (2L+ R/RMM)
CARF CYCL,Other triplet (2L+ R/RMM)
SELI BORT,Other triplet (2L+ R/RMM)
TECL,Bispecific (2L+ R/RMM)
ELRA,Bispecific (2L+ R/RMM)
TALQ,Bispecific (2L+ R/RMM)
BELA,ADC (2L+ R/RMM)
